SMILES,MW (desalted),ClogP,HBD,TPSA,RotBonds
CCc1ncc(C(=O)N2CCCN(Cc3cnn(C)c3)CC2)s1,333.452,0.765,0,54.26,4
COCCOc1ccc(C(F)(F)F)cc1NC(=O)Cc1ccccc1OC,383.362,3.299,1,56.79,9
Cc1cccc(OCCCNC(=O)c2ccc(-n3cncn3)c([N+](=O)[O-])c2)c1,381.385,3.005,1,112.18,8
O=C(NCc1ccc(OC(F)F)cc1)c1ccccc1OC(F)F,343.273,3.771,1,47.56,7
CC(C)c1cccc(C(C)C)c1NC(=O)N1CCCCCC1c1ccncc1,379.538,3.704,1,45.23,4
COCCn1cc(C(=O)NC[C@@]23CNC[C@]2(C(F)(F)F)C3)cn1,332.321,-0.127,2,68.18,7
Cc1cncc(C(=O)N2CCOCC2CC(=O)O)c1,264.277,0.167,1,79.73,3
O=C(NC1CNc2ccccc2C1)c1cc2n(n1)CC1(CCNCC1)OC2,367.445,-0.022,3,80.21,2
CCS(=O)(=O)N(C)C1CCN(Cc2ccc(C(=O)O)cc2)CC1,340.438,-0.764,1,77.92,5
CCn1ccnc1CN1CCN(Cc2ccc(F)cc2C#N)CC1,327.399,2.262,0,48.09,5
O=C(c1cc2c(s1)CCC2)N1CCCN(Cc2cscn2)CC1,347.498,2.028,0,36.44,3
COCCOc1ccc(C(F)(F)F)cc1NC(=O)Cc1ccccc1C,367.362,3.829,1,47.56,8
CCOc1ccc(C(F)(F)F)cc1NCC(=O)NCc1ccc(C)cc1,366.377,4.915,2,50.36,8
O=C(CN1CCCC1c1noc(C2CC2)n1)NCc1cccs1,332.421,1.472,1,71.26,6
Cc1cc(C2CCCN(C(C)C(=O)Nc3cc(C)on3)C2)n[nH]1,317.386,1.564,2,87.05,4
N[C@@H]1c2ccccc2C[C@H]1NC(=O)c1ccn(C2CCCC2)n1,310.393,2.029,2,72.94,3
O=C1CCN(C(=O)NCCc2cccc(C(F)(F)F)n2)CCN1,330.306,0.65,2,74.33,4
Cc1cccc(C)c1CC(=O)NC[C@H]1CC[C@@H](c2ncn[nH]2)O1,314.382,1.525,2,79.9,5
O=C(O)CCC1CCCN(c2nccc3c(=O)[nH]cnc23)C1,302.328,0.51,2,94.89,4
CCn1ccnc1CN1CCN(Cc2cccc(F)c2F)CC1,320.38,2.762,0,24.3,5
Cc1nc(CN(C)C(=O)CCC2NC(=O)NC2=O)cs1,296.345,-2.057,2,91.4,5
Cc1cc(C)c(CNC(=O)C2Oc3ccccc3OC2C)c(C)c1,325.402,4.545,1,47.56,3
Cc1cccc(NC(=O)C2CCCN(C(=O)c3ccc(C(F)(F)F)cc3)C2)n1,391.387,3.479,1,62.3,4
COCCOc1ncccc1C(=O)N1CCN(C2CCCC2O)CC1,349.425,0.994,1,75.13,6
O=C(NCc1ccccn1)NC1CCN(c2nc3ccccc3s2)CC1,367.468,1.91,2,70.15,4
CCc1cc(C)c(C(=O)N[C@@H]2Cc3ccccc3[C@H]2N)o1,284.353,2.381,2,68.26,3
NC(=O)CCNC(=O)c1cnn(-c2ccccc2F)c1-n1cccc1,341.34,2.193,2,94.94,6
Cc1ccc(NC(=O)CNC(=O)CCc2ccc3ccccc3n2)c(Cl)c1,381.855,2.814,2,71.09,6
CCCC(C)(NC(=O)c1csc(-c2ccc(OC)cc2)n1)C(=O)O,348.417,3.898,2,88.52,7
CC1CN(Cc2cccc(C#N)c2)CCN1Cc1nccn1C,309.409,1.969,0,48.09,4
Cc1c(C(=O)NC2CC2)nnn1-c1cccc2c1CCN(Cc1cccc(F)c1)C2,405.468,3.482,1,63.05,5
Cc1cccc(CNC(=O)C2Oc3ccccc3OC2C)c1,297.348,3.647,1,47.56,3
Cc1ccc(NC(=O)c2cnn(-c3ccc(C(F)(F)F)cn3)c2C(C)C)cc1C(F)(F)F,456.384,4.98,1,59.81,6
CCCc1n[nH]c(C2CN(CCS(=O)c3ccccc3)CCO2)n1,348.463,1.4,1,71.11,7
NS(=O)(=O)c1ccc(C(=O)NCC2(c3ccc(F)cc3)CCCC2)o1,366.407,2.526,2,102.4,5
O=C(NC[C@]12CNC[C@@]1(C(F)(F)F)C2)N1CC(C2CCCC2)C1,331.376,2.129,2,44.37,4
O=C(NCCc1cccc(-c2ccccc2)c1)[C@@H]1CCCCN1,308.417,3.953,2,41.13,5
CNC(=O)c1cccc(CCNC(=O)CNC(=O)c2ccc3c(c2)OCO3)c1,383.398,1.008,3,105.76,7
O=C(NCc1ccc(=O)[nH]n1)N1CCC[C@H]1COc1ccc(F)cc1,346.356,0.917,2,83.03,5
CCOc1ccnc(N2CCN(C(=O)CCn3cc(C)cn3)CC2)n1,344.411,1.99,0,76.38,6
Cc1c(C(=O)N2CCOCC2)nnn1-c1cccc2c1CCN(Cc1ccncc1)C2,418.492,1.436,0,76.38,4
Cc1c(C(=O)N2CCCC2)nnn1-c1cccc2c1CCN(Cc1ccc(F)cc1)C2,419.495,3.545,0,54.26,4
Cc1ccc(N2CCCN(C(=O)c3c(C)noc3C)CC2)nn1,315.37,0.288,0,75.36,2
NC(=O)c1cc(C2CCCN(C(=O)CC3CCCO3)C2)n[nH]1,306.36,0.079,2,101.31,4
O=C(NC(c1ccccc1)c1ccccc1)c1cn2ccccc2n1,327.379,4.525,1,46.4,4
Cc1ccc(NC(=O)C2CCCN(c3nccn4ccnc34)C2)nc1,336.391,2.207,1,75.42,3
Cc1ncc(C(=O)N2CCC(c3nc(-c4ccccc4)n[nH]3)CC2)c(N)n1,363.416,1.097,2,113.68,3
Cn1ccnc1[C@@H]1OCC[C@H]1NC(=O)NCC1(Cc2ccccc2)CCCCC1,396.526,3.549,2,68.18,6
CCOc1cccnc1N1CCN(c2cc(C)ncn2)CC1,299.371,2.378,0,54.38,4
Cc1cc2ncc(C(=O)Nc3ccc([C@@H]4C[C@H]4C(=O)O)cc3)c(C)n2n1,350.371,1.889,2,96.59,4
Cc1csc(C2CCCN(Cc3ncccc3C(=O)O)C2)n1,317.406,-0.343,1,66.32,4
O=C(O)c1cccc(-c2nc(CN3CCOCC3C3CCCO3)cs2)c1,374.454,0.161,1,71.89,5
COc1cc2c(cc1OC)C(CC(=O)O)N(C(=O)CN1CCCCC1=O)CC2,390.43,1.481,1,96.38,6
CC1OCCCC1C(=O)N1CCCC(n2cc(C(=O)O)nn2)C1,322.36,0.477,1,97.55,3
COc1cccc(C(NC(=O)C2CCOc3ccccc32)C(=O)O)c1,341.358,2.198,2,84.86,5
N#Cc1cnccc1N1CCC([C@@H]2CC[C@H](C(=O)O)O2)CC1,301.34,0.911,1,86.45,3
COc1cc(=O)[nH]cc1C(=O)N1CCNC(c2ccccc2)C1,313.351,0.223,2,70.67,3
Cc1onc(-c2ccccc2Cl)c1C(=O)NCc1cn(-c2ccccc2)nc1-c1ccncc1,469.922,4.105,1,85.84,6
COc1cccc(CC2CCN(Cc3ncccc3C(=O)O)CC2)c1,340.416,1.112,1,62.66,6
O=C(O)c1ccc(Cl)c(CN2CC[C@@H](O)[C@H](C3CCCC3)C2)c1,337.841,1.357,2,60.77,4
CCC(CNC(=O)c1cc(Cl)cn1C)(C(=O)O)c1ccccc1,334.797,3.509,2,71.33,6
CCOc1cc(C(=O)N2CCOCC3(CC3)C2)ccc1OCC(=O)O,349.378,1.132,1,85.3,6
O=C(O)c1cccc(OCCN2CCCC2c2cccc3c2OCCO3)c1,369.411,2.01,1,68.23,6
O=C(O)CC1CN(C(=O)c2ccc[nH]2)CCO1,238.24,-0.463,2,82.63,3
Cc1cnc(OC2CCN(Cc3cccc(C(=O)O)c3Cl)CC2)nc1,361.823,0.667,1,75.55,5
CCS(=O)(=O)N1CCCC(C(=O)N(C)Cc2ccns2)C1,331.454,0.86,0,70.58,4
CO[C@@H]1CN(c2ncc(S(=O)(=O)N3CCCC3)cc2C(F)(F)F)C[C@H]1O,395.397,1.381,1,82.97,4
Cc1onc(-c2ccccc2Cl)c1C(=O)NCc1nccn1-c1ccccc1,392.838,3.589,1,72.95,5
COc1ccc(C(NC(=O)c2cnn(C3CC3)c2)C(=O)O)cc1Cl,349.769,1.922,2,93.45,6
COc1cccc(C(C(=O)O)N2CCC(n3ccc(C(F)(F)F)n3)CC2)c1,383.365,0.518,1,67.59,6
CC1(C(=O)Nc2ccc(C(=O)NCCC(=O)O)cc2)CC1,290.314,0.908,3,95.5,6
Cc1noc(C)c1CC(=O)Nc1cccc(C(=O)N2CCCCC2C(=O)O)c1,385.414,1.165,2,112.74,5
COC1(C(=O)O)CCN(C(=O)c2ccc3c(c2)CCO3)C1,291.299,0.903,1,76.07,3
CCC(NC(=O)c1cnc(C)nc1C)(C(=O)O)c1ccccc1,313.351,2.217,2,92.18,5
COC(C(=O)N(C)Cc1ccc(C(=O)O)cc1)C1CC1,277.316,1.73,1,66.84,6
Cc1cccc(C)c1NC(=O)CN1C[C@@H]2CCS(=O)(=O)[C@@H]2C1,322.422,0.072,1,66.48,3
CC(C)CCNS(=O)(=O)c1ccc(C#N)cc1NCCCO,325.426,2.489,3,102.22,8
O=C(Cc1ncc[nH]1)N1CCC(c2nc3c(s2)CCC3)CC1,316.421,0.843,1,61.88,3
CCn1cc(C2CCN(C(C(=O)O)c3ccccc3F)CC2)cn1,331.385,0.585,1,58.36,5
Cc1noc(C)c1C(C)C(=O)Nc1cccc(C(C)C(=O)O)c1,316.352,1.006,2,92.43,5
Cc1cnc(OC2CCN(Cc3ccsc3C(=O)O)CC2)nc1,333.405,-0.08,1,75.55,5
Cc1cc(C(=O)Nc2ccc([C@@H]3C[C@H]3C(=O)O)cc2)n(C)n1,299.324,1.264,2,84.22,4
CC1(Cc2ccccc2C(F)(F)F)CCCN1Cc1nc(C(=O)O)co1,368.35,1.862,1,66.57,6
O=C(N[C@H]1CCO[C@H]1C(=O)O)c1cc(F)ccc1F,271.217,0.522,2,75.63,3
CCn1cc(C2CCN(C(C(=O)O)c3ccsc3)CC2)cn1,319.422,0.318,1,58.36,5
O=C(C1CCCNC1)N1CCC(O)(C(F)(F)F)C1,266.26,0.43,2,52.57,2
CCc1onc(C)c1NS(=O)(=O)c1ccc(OCC(=O)O)c(Cl)c1,374.797,1.044,2,118.73,6
Cc1cc(C(=O)NC2CCCNC2C)ccc1F,250.312,2.659,2,41.13,2
Cc1cccc(CC2(C)CCCN2Cc2ncccc2C(=O)O)c1,324.417,1.802,1,53.43,5
CN(C)S(=O)(=O)N1CCN(C(C(=O)O)c2ccccc2F)CC1,345.39,0.111,1,81.16,3
CC(C)[C@H](N)C(=O)N1CCC2(CC1)CNCc1ccccc1O2,317.426,0.908,2,67.59,2
CC(C)c1ccc(C(=O)N2CCCC(n3cc(C(=O)O)nn3)C2)nc1,343.38,1.124,1,101.21,4
Cc1nc(C2CCCN(Cc3ccccc3C(=O)O)C2)sc1C,330.444,1.192,1,53.43,4
O=C(O)COc1ccc(C(=O)N2CCC=C(F)C2)cc1,279.264,1.247,1,66.84,4
CCCS(=O)(=O)N1CCCC1C(=O)NCCc1c(C)cccc1C,352.492,3.501,1,66.48,6
CC1(C)CC(NC(=O)c2cccc3cc[nH]c23)CCS1(=O)=O,320.407,0.333,2,79.03,2
CCCC(C)(C)C(=O)N1C[C@@H]2COC[C@]2(c2nnc(C)o2)C1,307.388,-0.56,0,68.46,4
COCCC(=O)N1CCC(NC(=O)c2cccc(C(=O)O)n2)CC1,335.355,-0.096,2,108.83,6
COc1ccc2c(c1)CCN(CCOc1ccc(C(=O)O)cc1Cl)C2,361.819,2.189,1,59.0,6
COc1cc(N2CCN(Cc3cccc(C(=O)O)c3Cl)CC2)ccc1F,378.825,1.676,1,53.01,5
COc1ccc2c(c1)OCCN(C(C)C(=O)O)C2,251.278,0.491,1,59.0,3
CC(C)(C(=O)O)n1ccc(NC(=O)c2n[nH]c3c2CCCC3)n1,317.343,1.209,3,112.9,4
CCC(CNC(=O)c1cc(C)nn1C)(C(=O)O)c1ccccc1,315.367,1.836,2,84.22,6
Cc1nn(C(C)C)cc1C(=O)N1CCOCC1C(=O)O,281.308,0.186,1,84.66,3
CC(C)c1nsc(N2CCC(n3c(=O)[nH]c4cccnc43)CC2)n1,344.435,2.103,1,74.25,3
C[C@@H]1CCN(C(=O)Nc2cccc3c2OCC(=O)N3)C[C@H](C)C1,317.383,2.251,2,70.67,1
O=C(NC1CCCN(c2ccccc2F)C1)C1CCS(=O)(=O)C1,340.413,0.93,1,66.48,3
Cc1onc(-c2ccccc2Cl)c1C(=O)NCc1cn(C)nc1-c1ccccc1,406.865,3.564,1,72.95,5
Cc1cc(C(NC(=O)c2cnn(C3CC3)c2)C(=O)O)ccc1F,317.315,2.022,2,84.22,5
O=C(O)C(c1ccsc1)N1CCC(c2nc(-c3ccccc3)n[nH]2)CC1,368.453,1.349,2,82.11,5
CCS(=O)(=O)N(C)C1CCN(Cc2c(Cl)cccc2C(=O)O)CC1,374.883,-0.253,1,77.92,5
COC(CC(=O)N1CCC(C(=O)O)CC1)C(F)(F)F,283.244,0.054,1,66.84,5
CC(C(=O)Nc1ccc([C@@H]2C[C@H]2C(=O)O)cc1)S(C)(=O)=O,311.353,0.04,2,100.54,5
O=C(O)COc1ccc(NC(=O)C2CCCS2(=O)=O)cc1Cl,347.771,0.384,2,109.77,5
Cn1cc(C2CN(C(C(=O)O)c3cccc(Cl)c3Cl)CCO2)cn1,370.23,0.925,1,67.59,4
CC(C(=O)NCc1ccc(C(=O)O)cc1)N1CCC(C2CCOCC2)C1,360.447,-0.094,2,78.87,6
CC(=O)N1C[C@@H](O)C[C@@H]1C(=O)NCC1CC1,226.272,-0.869,2,69.64,3
COCCN1C(=O)C[C@H](CNC(=O)N2C[C@@H]3C[C@H]2CO3)[C@H]1c1cnn(C)c1,377.438,-0.238,1,88.93,6
O=C(O)c1coc(CN2CCN(S(=O)(=O)c3ccccc3Cl)CC2)n1,385.823,-0.258,1,103.95,4
CC(C(=O)NCc1ccc(C(=O)O)cc1)N1CC(C)C(F)(F)C(C)C1,354.392,0.622,2,69.64,5
c1ccc(-n2ccnc2)c(CNC2CCOC3(CCCC3)C2)c1,311.421,2.512,1,39.08,4
O=C(O)c1ccccc1CN1CC[C@@H](O)[C@H](C2CCCC2)C1,303.396,0.246,2,60.77,4
CC(Oc1ccc(NC(=O)C2CCN(S(C)(=O)=O)CC2)cc1F)C(=O)O,388.411,0.233,2,113.01,5
CN(CC(N)=O)CC1CN(C(=O)c2ccco2)CCO1,281.308,-0.732,1,89.01,5
CCN1C(=O)CC[C@H](CNC2CC=C(C)CC2)[C@H]1c1cnn(C)c1,330.468,1.96,1,50.16,5
CCc1cc(NC(=O)N2CCCCCC2c2noc(-c3cnn(C)c3)n2)n(C)n1,398.462,1.008,1,106.9,4
Cc1cc(C)n(-c2ccc(NC(=O)N[C@H]3CCCO[C@@H]3c3cnn(C)c3)cn2)n1,395.458,1.72,2,98.89,4
CN(C)CC1CN(C(=O)c2csc(-c3cnn(C)c3)n2)CCO1,335.425,0.052,0,63.49,4
CNC1CCCN(C(=O)c2csc(-c3cnn(-c4ccccc4)c3)n2)C1,367.468,2.059,1,63.05,4
CCc1ncc(NC(=O)N2CCCCCC2c2noc(-c3cnn(C)c3)n2)cn1,396.446,1.504,1,114.86,4
CNCC1CCN(C(=O)c2csc(-c3cnn(-c4ccccc4)c3)n2)CC1,381.495,1.535,1,63.05,5
Cc1nc(C2CCCN2C(=O)C2CCCN(c3ncccc3C(F)(F)F)C2)cs1,424.483,2.769,0,49.33,4
COC(C)(C)C(=O)N1CCC(c2nc(-c3ccccc3)n[nH]2)CC1,328.409,1.915,1,71.11,4
CC(C)C[C@@H](N)CC(=O)N1CCC(CN)(c2ccccc2)CC1,317.469,1.915,2,72.35,6
Cc1coc(C(=O)N2C[C@@H](c3cncn3C)[C@H](CNC(=O)C3(C)CC3)C2)c1,370.445,0.01,1,80.37,5
Cc1cc(N2CCCC(NC(=O)Nc3cc(C(C)C)on3)C2)n(C)n1,346.427,2.271,2,88.22,4
Cc1csc(C2CCCCN2C(=O)c2csc(-c3cnn(C)c3)n2)n1,373.496,1.839,0,63.91,3
CCNC(=O)N1CCN(C(=O)c2sc(-c3cnn(C)c3)nc2C)CC1,362.45,0.879,1,83.36,3
CNCC1CCCN(C(=O)c2csc(-c3cnn(-c4ccccc4)c3)n2)C1,381.495,1.535,1,63.05,5
NCC1CCCCC1NC(=O)c1csc(-c2cnn(-c3ccccc3)c2)n1,381.495,3.882,2,85.83,5
CN1CCN(S(=O)(=O)c2c[nH]c3ncccc23)C(c2ccccc2)C1,356.442,2.749,1,69.3,2
CNCC1CCN(C(=O)c2csc(-c3cnn(-c4ccccc4)c3)n2)C1,367.468,0.976,1,63.05,5
Cn1ccnc(N2CCCC(NC3CC(C)(C)OC(C)(C)C3)C2)c1=O,348.483,1.18,1,57.17,3
CCc1cccc(C)c1NS(=O)(=O)c1ccc(F)c(C)c1,307.383,3.931,1,46.17,3
CN(C)CC(NC(=O)Nc1cnn(CC2CCCO2)c1)c1ccccc1,357.45,1.876,2,71.42,7
CCn1nccc1NC(=O)N1CCCCCC1c1noc(-c2cnn(C)c2)n1,384.436,0.739,1,106.9,4
Cn1nccc1N1CCCC(NC(=O)c2cccnc2N2CCCCC2)C1=O,382.459,1.976,1,83.36,4
Cc1ncc(C(=O)N2CCOc3ccccc3C2C(=O)O)n1C,315.324,0.99,1,84.66,2
CNC(=O)c1cccnc1N1CCCC(c2n[nH]cc2NC(C)=O)C1,342.396,-0.176,3,103.01,4
NC1CCC(NC(=O)c2csc(-c3cnn(-c4ccccc4)c3)n2)CC1,367.468,2.593,2,85.83,4
CC(C)n1ncc2cc(S(=O)(=O)N3CCN(C)CC3c3ccccc3)ccc21,398.522,3.884,0,58.44,3
Cc1cc(N2CCCC(NC(=O)N3CCCN(c4cccnn4)CC3)C2)n(C)n1,398.505,1.063,1,82.42,3
CC1CCCC(C)N(C(=O)c2cc(-c3ccco3)nc3c(C(N)=O)ncn23)C1,381.428,2.916,1,106.73,3
COc1cccn2ncc(C(=O)NC3CCC4(CC3)CC4N)c12,314.382,1.086,2,81.65,3
Cc1cc(F)ccc1C(=O)N1C[C@@H](c2cncn2C)[C@H](CNC(=O)C2(C)CC2)C1,398.474,1.052,1,67.23,5
Cc1cc(N2CCCC(NC(=O)Nc3ccc4nn(C(C)C)cc4c3)C2)n(C)n1,395.501,2.845,2,80.01,4
CC(C)NC(=O)CN1CCN(C(=O)c2csc(-c3cnn(C)c3)n2)CC1,376.476,0.459,1,83.36,5
CN(CC(=O)NCC1CCCc2ccc(C(=O)O)cc21)C1CCC1,330.421,0.889,2,69.64,6
NCC(NC(=O)c1csc(-c2cnn(-c3ccccc3)c2)n1)C1CC1,353.441,2.815,2,85.83,6
CNCC1CCN(C(=O)c2cc(-c3ccco3)nc3c(C(N)=O)ncn23)CC1,382.416,0.097,2,118.76,5
CC(C)n1cc(S(=O)(=O)N2CCN(C)CC2c2ccccc2)cn1,348.463,2.542,0,58.44,3
CC1(CN)CCN(C(=O)c2csc(-c3cnn(-c4ccccc4)c3)n2)C1,367.468,1.349,1,77.04,4
Cn1nc(CNC(=O)c2ccc3c(c2)C(CN)CCC3)cc1C1CC1,338.447,2.011,2,72.94,5
NC1CC12CCC(NS(=O)(=O)c1cnn(CC3CC3)c1)CC2,324.442,1.19,2,90.01,4
COc1cncc(C(=O)N2C[C@@H](c3cncn3C)[C@H](CNC(=O)C3(C)CC3)C2)n1,398.459,-0.804,1,102.24,6
CCC(C)n1nc(NC(=O)NC2CCCN(c3cc(C)nn3C)C2)cc1C,373.496,2.378,2,80.01,5
Cc1c([C@H]2OCC[C@@H]2NC(=O)c2ccc(N(C)C)cn2)cnn1C,329.397,1.087,1,72.28,4
COc1nn(C)cc1CNC(=O)C1CC2CC(N)C2C1,278.35,-0.94,2,82.17,4
Cc1cc(C)n(-c2ccc(NC(=O)N[C@H]3CCO[C@@H]3c3cnn(C)c3C)cn2)n1,395.458,1.51,2,98.89,4
CCn1nc(NC(=O)NC2CCCN(c3cc(C)nn3C)C2)cc1C1CC1,371.48,1.984,2,80.01,5
CC(C)c1ccc(S(=O)(=O)N2CCNC(=O)CC2c2ccccc2)cc1,372.481,3.841,1,66.48,3
Cn1cc(-c2ncc(C(=O)N3CCC(Cc4ncc[nH]4)CC3)s2)cn1,356.445,0.584,1,79.7,4
COc1nc(C)cc(C)c1-c1noc([C@]23CNC[C@H]2COC3)n1,316.355,0.014,1,82.3,3
Cc1c(C(=O)N2CC[C@]3(C(=O)O)CCC[C@H]23)nnn1C(C)C,306.36,0.384,1,88.32,3
c1ccc(CCN2CCC(Cc3ccccc3)CC2)cc1,279.419,5.245,0,3.24,5
CN1CCN(S(=O)(=O)c2cnn(C3CCCC3)c2)C(c2ccccc2)C1,374.5,3.295,0,58.44,3
CN(C)c1cnc(C(=O)N2CCCN(Cc3cnn(C)c3)CC2)cn1,343.427,-0.152,0,70.39,4
CN1CCN(C(=O)c2cccc(-n3cccc3)c2)c2ccccc21,317.384,4.116,0,28.48,2
CC1(CN)CCN(C(=O)c2cc(-c3ccco3)nc3c(C(N)=O)ncn23)C1,368.39,-0.089,2,132.75,4
CC(C)c1ccc(S(=O)(=O)N2CCSCC2c2ccccc2)cc1,361.521,5.166,0,37.38,3
CC(C)c1ccc(S(=O)(=O)N2CC(=O)NCC2c2ccccc2)cc1,358.455,4.038,1,66.48,3
CC1CCN(C(=O)c2cccc(-n3cccc3)c2)c2ccccc21,316.396,4.897,0,25.24,2
NCCc1ccc(C(=O)NC[C@@]23CNC[C@]2(C(F)(F)F)C3)cc1,327.345,0.559,3,67.15,6
CN(Cc1cn[nH]c1)C(=O)C1NCCOc2ccccc21,286.329,0.642,2,70.25,3
Cc1n[nH]c(CNc2nccn3cnnc23)c1C,243.268,0.256,2,83.79,3
Cc1nccc(NC(=O)N2CCCC(c3n[nH]cc3NC(=O)C3CCCC3)C2)n1,397.474,1.007,3,115.9,4
CCC(C)n1ncc(C(=O)N2CCCC(c3ccnc(N)n3)C2)c1C,342.439,0.931,1,89.93,4
CN(C(=O)c1csc(-c2cnn(-c3ccccc3)c2)n1)C1CCNC1,353.441,1.673,1,63.05,4
CNC(=O)c1ccc(N2CCCC(c3n[nH]cc3NC(C)=O)C2)nn1,343.384,-0.827,3,115.9,4
Cn1cc(-c2nc(C(=O)N3CCCC(CC(N)=O)C3)cs2)cn1,333.409,-0.279,1,94.11,4
CC(C)c1ccc(S(=O)(=O)N2CCNC(=O)C2c2ccccc2)cc1,358.455,4.038,1,66.48,3
Cc1cc(C2CCCN2C(=O)C2CCCN(c3ncccc3C(F)(F)F)C2)no1,408.417,2.174,0,62.47,4
COc1nn(C)cc1CNC(=O)[C@@H]1C[C@H](N)[C@H]2C[C@H]21,264.324,-0.741,2,82.17,4
CC(=O)NC[C@@H]1CN(C(=O)Cc2cc(C)ccc2C)C[C@H]1c1cncn1C,368.473,0.029,1,67.23,5
C[C@@H]1CN(C(=O)N[C@H](C)c2ccc(F)cc2Cl)C[C@H]1CO,314.783,2.682,2,52.57,3
CCc1cc(NC(=O)N2CCOCC2c2noc(-c3cnn(C)c3)n2)n(C)n1,386.408,-0.594,1,116.13,4
Cc1oc(-c2cnn(C)c2)nc1C(=O)N1CCCCC1CC(N)=O,331.37,-0.271,1,107.25,4
NC(=O)c1ncn2c(C(=O)N3CCC4(CCNC4)C3)cc(-c3ccco3)nc12,380.401,0.232,2,118.76,3
CC1CN(S(=O)(=O)c2ccc(C(C)C)cc2)C(c2ccccc2)CO1,359.482,4.927,0,46.61,3
NC(CNC(=O)c1csc(-c2cnn(-c3ccccc3)c2)n1)C1CC1,353.441,2.815,2,85.83,6
CN1CCN(S(=O)(=O)c2ccc(C(F)F)cc2)C(c2ccccc2)C1,366.425,3.737,0,40.62,3
O=C(NCC1CC(=O)N(C2CC2)C1)N1CCC(Cc2cccc(F)c2)CC1,373.464,1.844,1,52.65,5
N[C@@H]1c2ccccc2C[C@H]1NC(=O)c1ccn(C2CCOCC2)n1,326.393,0.189,2,82.17,3
CCCc1occc1C(=O)N1C[C@@H](c2cncn2C)[C@H](CNC(=O)C2(C)CC2)C1,398.499,1.068,1,80.37,7
CCCC(C)(N)C(=O)Nc1ccc(NC(=O)c2ccccc2)nc1,326.393,2.593,3,97.11,6
CC(=O)N1CCCC1C(=O)N1CC(OCc2nnc(C(C)C)o2)C1,336.386,-0.312,0,88.77,5
Cc1nc(N2CCCC(O)(Cc3nncn3C)C2)c(Cl)cc1C#N,346.815,0.346,1,90.86,3
O=C(NCCOc1cccc2ccccc12)C1CCCCN1,298.379,3.372,2,50.36,5
O=C1CC[C@@H](NC(=O)c2ccccc2Cn2cccn2)[C@H](C2CC2)N1,338.404,0.735,2,76.02,5
Cn1cnnc1CC1(O)CCCN(C(=O)c2ccnc(C3CC3)c2)C1,341.408,-0.785,1,84.14,4
CC(=O)NC[C@@H]1CN(Cc2c(C)nsc2C)C[C@H]1c1cncn1C,347.478,-0.142,1,63.05,5
Cn1cnnc1CC1(O)CCCN(c2cccnc2C#N)C1,298.343,-0.836,1,90.86,3
COCc1nc2n(n1)CC(NC(=O)c1ccc(C(C)(C)C(F)(F)F)cc1)CC2,396.407,1.691,1,69.04,6
O=C(CCC1CCOC1)N1C[C@H]2CCC[C@@]2(c2nc(-c3ccccc3)no2)C1,381.468,1.424,0,68.46,5
Cc1ccc(-n2[nH]c(C(=O)N3CC[C@H](OC(F)F)C3)cc2=O)cc1,337.321,0.518,1,61.88,4
Cc1ccc(C(=O)N2CCCC(O)(Cc3nncn3C)C2)c(C2CC2)n1,355.434,-0.286,1,84.14,4
COc1nc(C)ccc1C(=O)N1CCCC(O)(Cc2nncn2C)C1,345.396,-0.455,1,93.37,4
O=C(NCCc1cccc2ccccc12)C1CCCCN1,282.38,3.239,2,41.13,4
CN(C)c1ncccc1C(=O)NCC(C(=O)O)C1CCOCC1,321.372,0.715,2,91.76,6
Cn1cnnc1CC1(O)CCCN(C(=O)C(C)(C)c2cccnc2)C1,343.423,-0.949,1,84.14,4
COCc1nc2n(n1)CC(NC(=O)c1ccc(OCC(F)(F)F)o1)CC2,374.315,0.412,1,91.41,7
Cn1cnnc1CC1(O)CCCN(C(=O)Cc2n[nH]c3ccccc23)C1,354.406,-0.677,2,99.93,4
Cc1cc(C)n(CC(=O)NCC(C(=O)O)C2CCOCC2)n1,309.361,0.028,2,93.45,6
O=C(C1CCOC1)N1C[C@H]2CCC[C@@]2(c2nc(-c3ccccc3)no2)C1,353.415,1.507,0,68.46,3
COc1cc(NC(=O)N2C[C@@H](C(F)(F)F)[C@H](S(=O)(=O)N(C)C)C2)nn1C,399.389,-0.103,1,96.77,4
CO[C@@H]1CC(c2ncc[nH]2)N(Cc2nc(CC(F)(F)F)no2)C1,331.294,-0.252,1,80.07,6
Cn1cnnc1CC1(O)CCCN(C(=O)c2ccc3c(c2)OCO3)C1,344.365,-0.422,1,89.71,3
N#Cc1ccc(OCCN2CCC(O)(Cn3ccnn3)C2)cc1,313.354,0.928,1,87.2,6
Cc1ccc(S(=O)(=O)NCC(C(=O)O)C2CCOCC2)cc1F,345.386,1.742,2,92.7,5
CC(C)c1[nH]ncc1C(=O)N1CCCC(O)(Cc2nncn2C)C1,332.401,-0.694,2,99.93,4
O=C(NCC1CCc2nc(C(F)(F)F)cn2C1)c1cn2c(n1)COCC2,369.342,0.595,1,73.97,4
Cc1oc(C(C)C)cc1C(=O)NCC(C(=O)O)C1CCOCC1,323.384,1.515,2,88.77,6
COc1ccc(C)cc1CC(=O)NCC(C(=O)O)C1CCOCC1,335.395,1.182,2,84.86,7
O=C(O)[C@@H]1CN(C(=O)c2ccc(F)cc2OC(F)F)C[C@H]1c1ccccc1,379.33,3.027,1,66.84,5
