SMILES,MW (desalted),ClogP,HBD,TPSA,RotBonds
COC(=O)C1CCc2nnc(-c3cccnc3)n2C1,258.276,-0.094,0,69.9,3
COC(=O)C1CCc2nnc(COCc3ccccc3)n2CC1,315.367,0.336,0,66.24,6
Cn1nccc1C1CCN(Cc2cc(C(=O)O)ccc2Cl)CC1,333.813,0.746,1,58.36,4
Cc1ccc(C(=O)N2CCC(Cc3nc4ccccc4[nH]3)CC2)cn1,334.415,2.328,1,61.88,3
Cc1cccc(C(=O)Nc2cccc(-c3nnc[nH]3)c2)c1C,292.335,2.566,2,70.67,3
O=C1CCN(C(=O)CNC(=O)c2cccc(F)c2)CCN1,293.294,0.334,2,78.51,3
CO[C@@H]1C[C@@H](COc2cccnc2)N(C(=O)c2cnn3c2CCCC3)C1,356.419,1.334,0,69.48,5
CCC(CNC(=O)c1c[nH]c(C)n1)(C(=O)O)c1ccccc1,301.34,2.242,3,95.08,6
COc1cccc(C(C(=O)O)N2CCC(c3ccon3)CC2)c1,316.352,-0.304,1,75.8,5
CCCOc1ccc(-c2nnc3n2CCC(C(=O)OC)C3)cc1OC,345.393,1.707,0,75.47,7
COC(=O)C1CCc2nnc(CSc3ccccc3OC)n2CC1,347.432,0.86,0,66.24,6
COc1ccccc1S(=O)(=O)N(CC(=O)O)CC1CC1,299.343,1.909,1,83.91,6
Cc1nn(C)c(C)c1C(=O)NC(C(=O)O)c1ccc2c(c1)CCO2,329.35,0.708,2,93.45,4
O=C(c1ccc2c(c1)[nH]c(=O)n2C1CC1)N1CCS(=O)(=O)C2CCCC21,375.442,1.117,1,86.79,2
Cc1noc([C@@H]2C[C@@H](O)[C@@H](CNC(=O)Cc3ccc(F)cc3)C2)n1,333.357,0.466,2,88.25,5
Cn1ccnc1-c1sc(NC(=O)C2CCN(c3ncccn3)CC2)nc1-c1ccccc1,445.54,2.076,1,88.83,5
CC(C(=O)O)N(C)S(=O)(=O)c1ccc2c(c1)CCC2,283.343,2.569,1,74.68,3
CC(Oc1ccc(NC(=O)c2cnn(C(C)(C)C)c2)cc1F)C(=O)O,349.357,1.966,2,93.45,6
COc1cc(N2CCN(C(C(=O)O)c3ccc(F)cc3)CC2)ccc1F,362.371,2.192,1,53.01,5
COC(=O)C1CCn2c(COc3ccccc3OC)nnc2C1,317.34,0.197,0,75.47,6
CC1Cc2cc(-c3ccc(CNC(=O)C(C)(O)C4CC4)cc3)ccc2O1,351.439,4.12,2,58.56,5
CCc1cnc(N2CCN(C(=O)c3cc[nH]c3C(C)C)CC2)s1,332.464,3.169,1,52.23,4
COc1cc(NS(=O)(=O)c2c(C)noc2C)c(C(=O)O)cc1OC,356.351,2.218,2,127.96,5
Cc1cc(F)ccc1S(=O)(=O)N1CCOCC1C(=O)O,303.307,1.613,1,83.91,2
CCc1noc(C)c1C(=O)N1CCOCC1c1noc(-c2cnn(C)c2)n1,372.379,-0.021,0,112.31,4
CCOC(=O)c1cc(NC(=O)c2ccccc2-c2nc(C(C)(C)C)no2)cc(C(=O)OCC)c1,465.498,4.891,1,120.62,10
Cc1noc(C)c1C(=O)NC(C)c1ccc(OCC(=O)O)cc1,318.325,0.989,2,101.66,6
CN1C(=O)C[C@@H](CNc2cccc(C#N)n2)[C@@H]1c1ccccc1,306.362,2.094,1,69.02,4
C[C@H]1OCCN(C(=O)c2[nH]nc3c2CCCC3)[C@@H]1c1nc(C2CC2)no1,357.407,1.197,1,97.14,3
CCCNC(=O)C1CCN(c2cncc(OCC3CCCC3)n2)CC1,346.467,2.961,1,67.35,7
CCOc1cc(-c2ccccc2)sc1C(=O)Nc1ccccn1,324.397,4.38,1,51.22,5
COCc1cccc(NC(=O)c2cnn(-c3ccc(C(F)(F)F)cn3)c2C(C)C)c1,418.412,3.23,1,69.04,7
CCn1c(CNC2CCN(C(=O)C3CC3)CC2C)nc2ccccc21,340.463,1.239,1,50.16,5
O=C(c1cnns1)N1CCCC(c2cc(C(F)(F)F)[nH]n2)C1,331.317,0.684,1,74.77,3
Cc1cc(C)n(-c2ccc(C(F)(F)F)cc2NC(=O)C2CCOC2)n1,353.339,3.217,1,56.15,4
Cc1sc(NC(=O)C2CC2)c(C(=O)N2CCC(C(N)=O)C2)c1C,335.421,0.718,2,92.5,4
Cc1ccc(-c2ccc(C(=O)NC3CCOCC3)nc2)cc1C(F)(F)F,364.362,3.388,1,51.22,4
O=C(N[C@H]1C[C@@H](O)[C@@H]1n1cccn1)c1cncnc1C1CC1,299.328,0.339,2,92.93,4
COc1cc(NC(=O)C2CC2c2sccc2C)ccc1NC(N)=O,345.416,2.251,3,93.45,5
Cn1nccc1[C@H]1[C@H](CNc2nccn3cnnc23)CCCN1C1CC1,352.437,1.787,1,76.17,5
CC(C)c1c(C(=O)NCCNC(=O)c2ccc(Cl)cc2)cnn1-c1ccc(C(F)(F)F)cn1,479.883,3.599,2,88.91,8
CC(C)c1noc(CCC(=O)N2CCN(C3CCCC3O)CC2)n1,336.429,0.262,1,82.7,5
CCCc1cc(C(=O)N2CCN(c3ccncc3)CC2)[nH]n1,299.371,1.88,1,65.12,4
Cc1cc(C(=O)Nc2sc3c(c2C#N)CCCCCC3)c2c(C)noc2n1,380.463,4.2,1,91.81,2
O=C1CN(C(=O)NCc2ccnc(OCc3ccccc3)c2)CCN1,340.376,1.817,2,83.56,5
Cc1ccc(NC(=O)C2CC2)cc1NCc1c(C)noc1C,299.368,1.608,2,67.16,5
O=C(NCc1cccc(-n2ccnc2)c1)N1CC2C3C=CC(O3)C2C1,336.388,1.352,1,59.39,3
CCN1C(=O)CC[C@H](C(=O)NCCc2ccc[nH]2)[C@H]1c1nccn1C,343.423,-0.323,2,83.02,6
O=C(CC1CCCC1)NC1CCN(c2cncc(OCC3CCCC3)n2)CC1,386.531,3.994,1,67.35,7
CCn1ccnc(NC[C@@H]2CCCN(C3CC3)[C@H]2c2ccnn2C)c1=O,356.465,1.201,1,65.76,6
Cc1noc2ncc(-c3nnc(C4CC4)o3)cc12,242.233,0.319,0,77.84,2
Cc1nc(C2CCCN(C(=O)c3ccc(S(C)=O)cc3)C2)no1,333.405,-0.412,0,76.3,3
NC(=O)c1cc(C2CCCN(CC(=O)NCC3CCCO3)C2)n[nH]1,335.401,0.429,3,113.34,6
CNc1snc(C)c1C(=O)NC1CCN(Cc2ccc(F)c(F)c2)CC1,380.455,2.751,2,57.26,5
Cn1nc(C(=O)Nc2sc3c(c2C#N)CCCCC3)ccc1=O,328.389,1.153,1,85.56,2
Cc1noc(C2CCN(C(=O)c3c(-c4c(F)cccc4Cl)noc3C)CC2)n1,404.823,2.074,0,85.26,2
COc1cc(C(=O)N2CCCC2c2ccc(N)nn2)ccc1C,312.366,1.537,1,81.34,3
O=C(c1cc[nH]c1C1CC1)N1CCCC(CO)(c2ccccc2)C1,324.417,1.847,2,56.33,4
CN(CCCC(=O)O)Cc1ccccc1N1CCCC1,276.374,0.236,1,43.78,7
CCn1c(C)cc(C(=O)N[C@@H]2CCC(=O)N(C)[C@H]2c2ccnn2C)c1C,357.45,0.986,1,72.16,4
CCOCC(O)CN1CCN(C(=O)c2ccc(O)nc2)CC1,309.361,0.353,2,86.13,6
Cc1nc(C2CCCN(C(=O)c3cc(Cl)c[nH]3)C2)sc1C,323.841,2.478,1,48.99,2
Cn1nnc2cc(C(=O)N3CCN(C4CCCC4O)CC3)ccc21,329.397,0.696,1,74.49,2
